Strategy,Prize tier,Hits,Hit rate,Estimated prize value,Total prize value,Share of strategy value,Prize tier rank
Full model,2+1,3,0.06,5.0,15.0,0.45454545454545453,12
Full model,2+2,1,0.02,12.0,12.0,0.36363636363636365,8
Full model,2+0,2,0.04,3.0,6.0,0.18181818181818182,13
No balance score,2+2,1,0.02,12.0,12.0,0.41379310344827586,8
No balance score,2+0,4,0.08,3.0,12.0,0.41379310344827586,13
No balance score,2+1,1,0.02,5.0,5.0,0.1724137931034483,12
No cold score,2+2,1,0.02,12.0,12.0,0.42857142857142855,8
No cold score,2+1,2,0.04,5.0,10.0,0.35714285714285715,12
No cold score,2+0,2,0.04,3.0,6.0,0.21428571428571427,13
No hot score,2+2,1,0.02,12.0,12.0,0.8,8
No hot score,2+0,1,0.02,3.0,3.0,0.2,13
No pair score,2+2,1,0.02,12.0,12.0,0.6,8
No pair score,2+1,1,0.02,5.0,5.0,0.25,12
No pair score,2+0,1,0.02,3.0,3.0,0.15,13
No spread score,2+1,3,0.06,5.0,15.0,0.4166666666666667,12
No spread score,2+2,1,0.02,12.0,12.0,0.3333333333333333,8
No spread score,2+0,3,0.06,3.0,9.0,0.25,13
Only hot score,2+2,1,0.02,12.0,12.0,0.46153846153846156,8
Only hot score,2+0,3,0.06,3.0,9.0,0.34615384615384615,13
Only hot score,2+1,1,0.02,5.0,5.0,0.19230769230769232,12
Only pair score,2+1,1,0.02,5.0,5.0,0.625,12
Only pair score,2+0,1,0.02,3.0,3.0,0.375,13
