half_life,simulations,training_window,test_draws,recent_draw_count,avg_total_matches,total_ci_low,total_ci_high,prize_hit_rate,hit_ci_low,hit_ci_high,match_0_rate,match_1_rate,match_2_rate,match_3_plus_rate,total_match_std,best_prize_tier
250,100,300,75,50,1.0533333333333332,0.8432137391981809,1.2634529274684856,0.16,0.0939651360357614,0.25916707685254664,0.29333333333333333,0.4533333333333333,0.17333333333333334,0.08,0.9222195448421644,2+2
250,100,300,75,100,1.0533333333333332,0.8432137391981809,1.2634529274684856,0.16,0.0939651360357614,0.25916707685254664,0.29333333333333333,0.4533333333333333,0.17333333333333334,0.08,0.9222195448421644,2+2
250,100,100,75,50,1.04,0.8415818512546137,1.2384181487453865,0.14666666666666667,0.08391717009472588,0.24384767859312365,0.26666666666666666,0.5066666666666667,0.16,0.06666666666666667,0.8708616422830896,2+2
250,100,100,75,100,1.04,0.8415818512546137,1.2384181487453865,0.14666666666666667,0.08391717009472588,0.24384767859312365,0.26666666666666666,0.5066666666666667,0.16,0.06666666666666667,0.8708616422830896,2+2
150,100,100,75,50,1.0266666666666666,0.8263966985148953,1.226936634818438,0.14666666666666667,0.08391717009472588,0.24384767859312365,0.28,0.49333333333333335,0.16,0.06666666666666667,0.8789893186053073,2+2
150,100,100,75,100,1.0266666666666666,0.8263966985148953,1.226936634818438,0.14666666666666667,0.08391717009472588,0.24384767859312365,0.28,0.49333333333333335,0.16,0.06666666666666667,0.8789893186053073,2+2
75,100,300,75,50,1.04,0.8347236479245213,1.2452763520754788,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.28,0.49333333333333335,0.14666666666666667,0.08,0.9009624483480614,2+2
75,100,300,75,100,1.04,0.8347236479245213,1.2452763520754788,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.28,0.49333333333333335,0.14666666666666667,0.08,0.9009624483480614,2+2
150,100,300,75,50,1.0266666666666666,0.8263966985148953,1.226936634818438,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.28,0.49333333333333335,0.16,0.06666666666666667,0.8789893186053073,2+2
150,100,300,75,100,1.0266666666666666,0.8263966985148953,1.226936634818438,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.28,0.49333333333333335,0.16,0.06666666666666667,0.8789893186053073,2+2
75,100,100,75,50,0.96,0.7547236479245212,1.1652763520754787,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.32,0.49333333333333335,0.10666666666666667,0.08,0.9009624483480615,2+2
75,300,100,75,50,0.96,0.7686857486184664,1.1513142513815335,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.30666666666666664,0.48,0.17333333333333334,0.04,0.8396824796711353,2+2
75,100,100,75,100,0.96,0.7547236479245212,1.1652763520754787,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.32,0.49333333333333335,0.10666666666666667,0.08,0.9009624483480615,2+2
75,300,100,75,100,0.96,0.7686857486184664,1.1513142513815335,0.13333333333333333,0.07406584704043957,0.2283316374469514,0.30666666666666664,0.48,0.17333333333333334,0.04,0.8396824796711353,2+2
75,300,300,75,50,0.88,0.7360928427956938,1.0239071572043064,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.26666666666666666,0.5866666666666667,0.14666666666666667,0.0,0.6316116950574406,2+0
75,300,300,75,100,0.88,0.7360928427956938,1.0239071572043064,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.26666666666666666,0.5866666666666667,0.14666666666666667,0.0,0.6316116950574406,2+0
250,300,100,75,50,0.8666666666666667,0.6908365066725852,1.0424968266607482,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.3333333333333333,0.49333333333333335,0.16,0.013333333333333334,0.771722460186015,2+2
250,300,100,75,100,0.8666666666666667,0.6908365066725852,1.0424968266607482,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.3333333333333333,0.49333333333333335,0.16,0.013333333333333334,0.771722460186015,2+2
150,300,100,75,50,0.8533333333333334,0.6800408433252951,1.0266258233413716,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.3333333333333333,0.5066666666666667,0.14666666666666667,0.013333333333333334,0.7605845705040887,2+2
150,300,100,75,100,0.8533333333333334,0.6800408433252951,1.0266258233413716,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.3333333333333333,0.5066666666666667,0.14666666666666667,0.013333333333333334,0.7605845705040887,2+2
150,300,300,75,50,0.8533333333333334,0.6968307801482599,1.009835886518407,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.30666666666666664,0.5466666666666666,0.13333333333333333,0.013333333333333334,0.6868931665275337,3+0
150,300,300,75,100,0.8533333333333334,0.6968307801482599,1.009835886518407,0.10666666666666667,0.0550491276217432,0.19661362846473074,0.30666666666666664,0.5466666666666666,0.13333333333333333,0.013333333333333334,0.6868931665275337,3+0
250,300,300,75,50,0.88,0.7137747993855956,1.0462252006144044,0.09333333333333334,0.045948523390600425,0.180346868495415,0.30666666666666664,0.5333333333333333,0.13333333333333333,0.02666666666666667,0.7295660810829041,3+0
250,300,300,75,100,0.88,0.7137747993855956,1.0462252006144044,0.09333333333333334,0.045948523390600425,0.180346868495415,0.30666666666666664,0.5333333333333333,0.13333333333333333,0.02666666666666667,0.7295660810829041,3+0
25,100,100,75,50,0.8666666666666667,0.67573871401624,1.0575946193170933,0.08,0.037180124350333875,0.16374790333522307,0.36,0.4666666666666667,0.13333333333333333,0.04,0.8379870059984357,4+0
25,100,100,75,100,0.8666666666666667,0.67573871401624,1.0575946193170933,0.08,0.037180124350333875,0.16374790333522307,0.36,0.4666666666666667,0.13333333333333333,0.04,0.8379870059984357,4+0
25,300,100,75,50,0.8266666666666667,0.662902540289315,0.9904307930440184,0.08,0.037180124350333875,0.16374790333522307,0.3466666666666667,0.49333333333333335,0.14666666666666667,0.013333333333333334,0.7187643718369896,2+1
25,300,100,75,100,0.8266666666666667,0.662902540289315,0.9904307930440184,0.08,0.037180124350333875,0.16374790333522307,0.3466666666666667,0.49333333333333335,0.14666666666666667,0.013333333333333334,0.7187643718369896,2+1
25,100,300,75,50,0.84,0.6501384215073973,1.0298615784926026,0.06666666666666667,0.028810062899493723,0.1467506005856047,0.37333333333333335,0.4666666666666667,0.12,0.04,0.8333066662399864,4+0
25,100,300,75,100,0.84,0.6501384215073973,1.0298615784926026,0.06666666666666667,0.028810062899493723,0.1467506005856047,0.37333333333333335,0.4666666666666667,0.12,0.04,0.8333066662399864,4+0
25,300,300,75,50,0.76,0.607318070072774,0.912681929927226,0.05333333333333334,0.020933427746654337,0.1292598715379856,0.37333333333333335,0.49333333333333335,0.13333333333333333,0.0,0.6701243665668832,2+0
25,300,300,75,100,0.76,0.607318070072774,0.912681929927226,0.05333333333333334,0.020933427746654337,0.1292598715379856,0.37333333333333335,0.49333333333333335,0.13333333333333333,0.0,0.6701243665668832,2+0
